NAME                            CHART VERSION   APP VERSION     DESCRIPTION                                       
ingress-nginx/ingress-nginx     3.23.0          0.44.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.22.0          0.43.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.21.0          0.43.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.20.1          0.43.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.20.0          0.43.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.19.0          0.43.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.18.0          0.42.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.17.0          0.42.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.16.1          0.41.2          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.15.2          0.41.2          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.13.0          0.41.2          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.12.0          0.41.2          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.11.1          0.41.2          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.11.0          0.41.2          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.10.1          0.41.2          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.10.0          0.41.1          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.9.0           0.41.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.8.0           0.41.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.7.1           0.40.2          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.7.0           0.40.2          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.6.0           0.40.2          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.5.1           0.40.2          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.4.1           0.40.2          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.4.0           0.40.1          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.3.1           0.40.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.3.0           0.35.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.2.0           0.35.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.1.0           0.35.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     3.0.0           0.35.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.16.0          0.35.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.15.0          0.35.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.14.0          0.35.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.13.0          0.35.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.12.1          0.34.1          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.12.0          0.34.1          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.11.3          0.34.1          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.11.2          0.34.1          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.11.1          0.34.1          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.11.0          0.34.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.10.0          0.33.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.9.1           0.33.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.9.0           0.33.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.8.0           0.33.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.7.1           0.33.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.7.0           0.33.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.6.0           0.33.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.5.0           0.33.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.4.0           0.33.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.3.0           0.32.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.2.0           0.32.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.1.0           0.32.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.0.3           0.32.0          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.0.2           0.31.1          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.0.1           0.31.1          Ingress controller for Kubernetes using NGINX a...
ingress-nginx/ingress-nginx     2.0.0           0.31.0          An nginx Ingress controller that uses ConfigMap...
